id,accX,accY,accZ,eventClass,idTrip,idVehicle,latitude,longitude,magX,magY,magZ,timestamp,velAngX,velAngY,velAngZ
1370,1.3120225097656248,-0.05746083984375,9.579200842285156,0,0,Mazda Juan - All clear,0,0,0,0,0,1639546673.3536098,-0.021983154700691936,0.01971822361031762,0.011324655451871604
1371,1.2665326782226562,0.009576806640625,9.572018237304688,0,0,Mazda Juan - All clear,0,0,0,0,0,1639546673.4042354,-0.024114854550456002,0.01705359879811253,0.009059724361497283
1372,1.2401964599609374,-0.02154781494140625,9.70369932861328,0,0,Mazda Juan - All clear,0,0,0,0,0,1639546673.453773,-0.024514548272286763,0.018252679963604822,0.008926493120887028
1373,1.20667763671875,0.01915361328125,9.600748657226562,0,0,Mazda Juan - All clear,0,0,0,0,0,1639546673.5046673,-0.024914241994117528,0.018385911204215073,0.01052526800821008
1374,1.218648645019531,0.011971008300781249,9.550470422363281,0,0,Mazda Juan - All clear,0,0,0,0,0,1639546673.5543842,-0.026513016881440577,0.020251148572758632,0.009459418083328047
1375,1.2617442749023438,-0.08858546142578125,9.643844287109374,0,0,Mazda Juan - All clear,0,0,0,0,0,1639546673.604141,-0.02438131703167651,0.01945176112909711,0.0073277182335639785
1376,1.254561669921875,-0.06464344482421874,9.576806640625,0,0,Mazda Juan - All clear,0,0,0,0,0,1639546673.6548572,-0.021983154700691936,0.020650842294589397,0.010791730489430587
1377,1.254561669921875,-0.0143652099609375,9.65342109375,0,0,Mazda Juan - All clear,0,0,0,0,0,1639546673.7048502,-0.02438131703167651,0.01851914244482533,0.009059724361497283
1378,1.2138602416992186,-0.0430956298828125,9.56962403564453,0,0,Mazda Juan - All clear,0,0,0,0,0,1639546673.7545652,-0.025180704475338038,0.018652373685435583,0.008526799399056265
1379,1.2593500732421874,-0.00239420166015625,9.622296472167967,0,0,Mazda Juan - All clear,0,0,0,0,0,1639546673.804683,-0.02438131703167651,0.017453292519943295,0.009059724361497283
1380,1.3431471313476562,-0.02633621826171875,9.672574707031249,0,0,Mazda Juan - All clear,0,0,0,0,0,1639546673.855304,-0.021716692219471426,0.01971822361031762,0.011724349173702367
1381,1.2761094848632812,0.0047884033203125,9.619902270507811,0,0,Mazda Juan - All clear,0,0,0,0,0,1639546673.9042323,-0.02398162330984575,0.017186830038722786,0.006928024511733216
1382,1.3096283081054687,-0.0430956298828125,9.605537060546874,0,0,Mazda Juan - All clear,0,0,0,0,0,1639546673.9536722,-0.02464777951289702,0.018385911204215073,0.010125574286379316
1383,1.2378022583007813,-0.05027823486328125,9.60793126220703,0,0,Mazda Juan - All clear,0,0,0,0,0,1639546674.0045433,-0.02717917308449185,0.01958499236970736,0.010791730489430587
