id,accX,accY,accZ,eventClass,idTrip,idVehicle,latitude,longitude,magX,magY,magZ,route,speed,timestamp,velAngX,velAngY,velAngZ
41461,-0.12870343279502658,0.77225580232558,9.417011693968252,0,25,Nissan March (Xiaomi Redmi Note 9S),0.8338027,-77.6500691,18.59171165578411,-37.42764190087182,58.70960962565914,Aceleración repentina,14.09598159790039,2022-02-02 20:33:24.023000-05:00,0.012492696088423088,-0.01411115805452247,-0.0001123501935490042
41462,-0.10946848811028456,0.540346185439199,9.554667376314246,0,25,Nissan March (Xiaomi Redmi Note 9S),0.8338027,-77.6500691,18.50826342433247,-37.542900383841285,58.62321934796433,Aceleración repentina,14.09598159790039,2022-02-02 20:33:24.056000-05:00,0.012507838021240465,-0.01411314687527142,-0.00012554029039903798
41463,-0.09378694778942048,0.4493503536807618,9.665581951915208,0,25,Nissan March (Xiaomi Redmi Note 9S),0.8338027,-77.6500691,18.491179169264488,-37.568816164756555,58.60028478339971,Aceleración repentina,14.09598159790039,2022-02-02 20:33:24.064000-05:00,0.012513603142307764,-0.014113931407587056,-0.00013058981375703153
41464,-0.0847540463611727,0.4215903488013541,9.728575347591866,0,25,Nissan March (Xiaomi Redmi Note 9S),0.8338027,-77.6500691,18.488150165051152,-37.573814962686264,58.595190978579225,Aceleración repentina,14.09598159790039,2022-02-02 20:33:24.065000-05:00,0.012515535559238398,-0.01411420075392882,-0.00013229888210157534
41465,-0.12835041018660476,0.6474940487747058,9.749258275734043,0,25,Nissan March (Xiaomi Redmi Note 9S),0.8338027,-77.6500691,18.348638859360232,-37.726329652574,58.6233196463174,Aceleración repentina,14.09598159790039,2022-02-02 20:33:24.069000-05:00,0.010374626813378786,-0.013849476960987313,0.0017317896593324138
41466,-0.15062006796846736,0.7146372633387861,9.759698959722975,0,25,Nissan March (Xiaomi Redmi Note 9S),0.8338027,-77.6500691,18.324023810419977,-37.75556679837698,58.62950732313223,Aceleración repentina,14.09598159790039,2022-02-02 20:33:24.073000-05:00,0.009668372795789582,-0.01376023907899815,0.0023528560688514193
41467,-0.1619225500178858,0.7345898500359703,9.76493744935736,0,25,Nissan March (Xiaomi Redmi Note 9S),0.8338027,-77.6500691,18.319680808563145,-37.761171529402226,58.63086844412291,Aceleración repentina,14.09598159790039,2022-02-02 20:33:24.075000-05:00,0.009435429923784613,-0.013730163565851062,0.002559743182882421
41468,-0.16764937664463303,0.7405189540295,9.767561790430014,0,25,Nissan March (Xiaomi Redmi Note 9S),0.8338027,-77.6500691,18.318914543077128,-37.7622459503045,58.631167853493615,Aceleración repentina,14.09598159790039,2022-02-02 20:33:24.078000-05:00,0.00935860009963694,-0.013720027572131421,0.002628659235978545
41469,-0.1705498541788303,0.7422808420054127,9.76887601076597,0,25,Nissan March (Xiaomi Redmi Note 9S),0.8338027,-77.6500691,18.318779345623426,-37.76245191563227,58.63123371535848,Aceleración repentina,14.09598159790039,2022-02-02 20:33:24.079000-05:00,0.009333259938421434,-0.01371661156769233,0.002651615775097931
41470,-0.10809188319420943,0.8252112913224497,9.759976299960265,0,25,Nissan March (Xiaomi Redmi Note 9S),0.8338027,-77.6500691,18.318755491813203,-37.76249139896337,58.63124820316567,Aceleración repentina,14.09598159790039,2022-02-02 20:33:24.080000-05:00,0.009324902199273084,-0.013715460315727379,0.002659262796923591
41471,-0.07646300331919491,0.8498548362909774,9.755520028363973,0,25,Nissan March (Xiaomi Redmi Note 9S),0.8338027,-77.6500691,18.318751283122534,-37.76249896787534,58.63125139008662,Aceleración repentina,14.09598159790039,2022-02-02 20:33:24.088000-05:00,0.009322145634253442,-0.013715072324123894,0.0026618100859964115
41472,-0.06044617073373848,0.8571778920926006,9.753288693309544,0,25,Nissan March (Xiaomi Redmi Note 9S),0.8338027,-77.6500691,18.31875054055449,-37.7625004188276,58.63125209112198,Aceleración repentina,14.09598159790039,2022-02-02 20:33:24.089000-05:00,0.00932123645887086,-0.013714941564317743,0.002662658610003445
41473,-0.14933333142453864,0.7212383684240918,9.779649763489541,0,25,Nissan March (Xiaomi Redmi Note 9S),0.8338027,-77.6500691,18.334193161459364,-37.77765572551967,58.8360100268467,Aceleración repentina,14.09598159790039,2022-02-02 20:33:24.094000-05:00,0.009320936592961597,-0.01371489749602672,0.002662941260684108
41474,-0.19434559510142263,0.6808426900164084,9.792849198797741,0,25,Nissan March (Xiaomi Redmi Note 9S),0.8338027,-77.6500691,18.336917808546556,-37.78056098146027,58.88105116709496,Aceleración repentina,14.09598159790039,2022-02-02 20:33:24.095000-05:00,0.009320837690631795,-0.013714882644258958,0.002663035414068825
41475,-0.217139704176747,0.6688387430407293,9.799458379483312,0,25,Nissan March (Xiaomi Redmi Note 9S),0.8338027,-77.6500691,18.337398536642873,-37.78111791588937,58.890958984868575,Aceleración repentina,14.09598159790039,2022-02-02 20:33:24.096000-05:00,0.009320805070482129,-0.013714877638959216,0.002663066777375055
41476,-0.2286825893812588,0.6652716599101859,9.802767708047222,0,25,Nissan March (Xiaomi Redmi Note 9S),0.8338027,-77.6500691,18.33748335478452,-37.78122467961851,58.89313843353471,Aceleración repentina,14.09598159790039,2022-02-02 20:33:24.098000-05:00,0.009320794311643925,-0.0137148759520876,0.0026630772247634373
41477,-0.20972472228396177,0.647393977149619,9.642991104750084,0,25,Nissan March (Xiaomi Redmi Note 9S),0.8338027,-77.6500691,18.337498319828605,-37.78124514611019,58.89361785257499,Aceleración repentina,14.09598159790039,2022-02-02 20:33:24.099000-05:00,0.009320790763143974,-0.013714875383583014,0.0026630807048788055
