id,accX,accY,accZ,eventClass,idTrip,idVehicle,latitude,longitude,magX,magY,magZ,route,speed,timestamp,velAngX,velAngY,velAngZ
4789,-0.05103012291216169,1.0552155788283444,9.762268150172837,0,6,Nissan March (Xiaomi Redmi Note 9S),0.8339488,-77.6499952,5.749309332784257,-43.603177046688785,60.47339646783264,Frenada repentina,9.683408737182615,2022-01-23 18:49:18.883000-05:00,0.0012527780568368238,-0.002696803680338031,0.0033608419824270154
4790,-0.05750339725509415,1.0552284750636407,9.762940165748907,0,6,Nissan March (Xiaomi Redmi Note 9S),0.8339488,-77.6499952,5.842681425372435,-43.61042331388511,60.4102327949597,Frenada repentina,9.683408737182615,2022-01-23 18:49:18.932000-05:00,0.0018132541248195707,-0.0016941845553825861,0.0035092436744798266
4791,-0.058518353148454605,1.0426890097656607,9.758125692034453,0,6,Nissan March (Xiaomi Redmi Note 9S),0.8339488,-77.6499952,5.863725620926752,-43.506660657661584,60.28962153105306,Frenada repentina,9.683408737182615,2022-01-23 18:49:18.981000-05:00,0.0017582068758864595,-0.0010244519449579322,0.0033897375196371175
4792,-0.05924982381167907,1.0391978433252578,9.754727160158941,0,6,Nissan March (Xiaomi Redmi Note 9S),0.8339488,-77.6499952,5.792017359292911,-43.380660436660406,60.09891101085646,Frenada repentina,9.683408737182615,2022-01-23 18:49:19.033000-05:00,0.0017399103602937199,-0.0007892866616247872,0.0033492023075639165
4793,-0.04624689367353131,1.0717447163384524,9.747462069451863,0,6,Nissan March (Xiaomi Redmi Note 9S),0.8339488,-77.6499952,5.793417976559909,-43.386162371601486,60.04872605111195,Frenada repentina,9.683408737182615,2022-01-23 18:49:19.082000-05:00,0.0012858918870855636,-0.0009703517986870895,0.0028921489207831153
4794,-0.05823748499731804,1.0747471990992663,9.762205652320057,0,6,Nissan March (Xiaomi Redmi Note 9S),0.8339488,-77.6499952,5.945231422958755,-43.41740346753218,60.22342903183251,Frenada repentina,9.683408737182615,2022-01-23 18:49:19.132000-05:00,0.001675053136392812,-0.0010326149786080343,0.0031830739833469458
4795,-0.0576671069621027,1.0538117018681488,9.763910454190814,0,6,Nissan March (Xiaomi Redmi Note 9S),0.8339488,-77.6499952,6.004652180687174,-43.393351537314196,60.33197486009986,Frenada repentina,9.683408737182615,2022-01-23 18:49:19.183000-05:00,0.0015334858206541549,-0.001490918313253524,0.0030140734301557213
4796,-0.05089553585746036,1.0559344215123616,9.759553469289294,0,6,Nissan March (Xiaomi Redmi Note 9S),0.8339488,-77.6499952,5.970583208496215,-43.26799642444504,60.42842910210715,Frenada repentina,9.683408737182615,2022-01-23 18:49:19.232000-05:00,0.001307969692839288,-0.0006872918435393427,0.0029576589143850826
4797,-0.058525386323375436,1.0571658661772054,9.755763230688151,0,6,Nissan March (Xiaomi Redmi Note 9S),0.8339488,-77.6499952,5.9185865806957345,-43.12281722489343,60.4307356698943,Frenada repentina,9.683408737182615,2022-01-23 18:49:19.282000-05:00,0.0014134436489785518,-0.001110068000393297,0.0026727099296022113
4798,-0.049578838370750354,1.0372702701496088,9.75953189182563,0,6,Nissan March (Xiaomi Redmi Note 9S),0.8339488,-77.6499952,5.741916545608603,-43.19997975752694,60.492450073786415,Frenada repentina,9.683408737182615,2022-01-23 18:49:19.332000-05:00,0.0017167672063447587,-0.002653482549738421,0.0031098249015963264
4799,-0.05203715330506917,1.0464203849117877,9.76210426566266,0,6,Nissan March (Xiaomi Redmi Note 9S),0.8339488,-77.6499952,5.57164756294624,-43.1698351442909,60.51905207862102,Frenada repentina,9.683408737182615,2022-01-23 18:49:19.382000-05:00,0.0018159587877820825,-0.0016112245866921567,0.0036992674109919037
4800,-0.05118972451128692,1.050438241109438,9.757250608578476,0,6,Nissan March (Xiaomi Redmi Note 9S),0.8339488,-77.6499952,5.614769099654679,-43.32983147264246,60.677144661298556,Frenada repentina,9.683408737182615,2022-01-23 18:49:19.432000-05:00,0.0013107321740021152,-0.00029175023918283165,0.003452501886454978
4801,-0.05773067435766726,1.0504461628899089,9.753048237933246,0,6,Nissan March (Xiaomi Redmi Note 9S),0.8339488,-77.6499952,5.653347397752936,-43.3158910823861,60.61410164374468,Frenada repentina,9.683408737182615,2022-01-23 18:49:19.482000-05:00,0.001862400158624974,-0.0014983718452185562,0.0039023629509866353
4802,-0.05323534281253027,1.0524062444417557,9.75458361143861,0,6,Nissan March (Xiaomi Redmi Note 9S),0.8339488,-77.6499952,5.600127019757698,-43.26792123735886,60.35741102856611,Frenada repentina,9.683408737182615,2022-01-23 18:49:19.532000-05:00,0.0014155298449167165,-0.0013888924824528985,0.0035202975709982725
4803,-0.050686831601167846,1.0533758029788158,9.75049546794194,0,6,Nissan March (Xiaomi Redmi Note 9S),0.8339488,-77.6499952,5.620230340051876,-43.3339422797482,60.034679358413065,Frenada repentina,9.683408737182615,2022-01-23 18:49:19.583000-05:00,0.0018966706477760481,4.6820177505709935e-05,0.0036588767971314305
4804,-0.053666951728194856,1.0453736001245857,9.752720832870725,0,6,Nissan March (Xiaomi Redmi Note 9S),0.8339488,-77.6499952,5.669548904752648,-43.54291592478349,59.91440067784254,Frenada repentina,9.683408737182615,2022-01-23 18:49:19.631000-05:00,0.0017851793574984395,-0.0012072221089178927,0.0038825474038777846
