id,accX,accY,accZ,eventClass,idTrip,idVehicle,latitude,longitude,magX,magY,magZ,route,speed,timestamp,velAngX,velAngY,velAngZ
12658,-0.17138214530418913,1.1500750404645828,9.741574756061217,0,17,Nissan March (Xiaomi Redmi Note 9S),0.833733,-77.6500695,5.353683619368251,-43.505347649242744,60.90743384731905,Giro izquierdo agresivo,10.4669189453125,2022-01-23 19:10:29.299000-05:00,0.00012456654911017966,-0.0004259007544949291,-0.0009252063654425039
12659,-0.16945188491403404,1.1313759286712997,9.745357052173524,0,17,Nissan March (Xiaomi Redmi Note 9S),0.833733,-77.6500695,5.393807533412408,-43.31837777234307,60.855430982667365,Giro izquierdo agresivo,10.4669189453125,2022-01-23 19:10:29.351000-05:00,-3.9436111057392916e-05,0.0003594315862767059,-0.0005715438956150466
12660,-0.14981640879451755,1.1466748367274635,9.75243106233655,0,17,Nissan March (Xiaomi Redmi Note 9S),0.833733,-77.6500695,5.465039487065624,-43.329083809116646,60.9396916437716,Giro izquierdo agresivo,10.4669189453125,2022-01-23 19:10:29.400000-05:00,0.0003418600035836625,-0.00033203788691588273,-0.000264236012000503
12661,-0.1686126628880204,1.173593173708266,9.739891826770924,0,17,Nissan March (Xiaomi Redmi Note 9S),0.833733,-77.6500695,5.342157370209511,-43.377691373272306,60.812423254211495,Giro izquierdo agresivo,10.4669189453125,2022-01-23 19:10:29.450000-05:00,0.0007372257901709274,0.000434711189547046,-0.00017201970074206058
12662,-0.1724312808840105,1.1556776364654335,9.742366671923627,0,17,Nissan March (Xiaomi Redmi Note 9S),0.833733,-77.6500695,5.40936659620625,-43.3702525659235,60.74454161762411,Giro izquierdo agresivo,10.4669189453125,2022-01-23 19:10:29.499000-05:00,0.00015387567898646464,0.0008624086497138072,-0.0013628145319093815
12663,-0.1606667034765654,1.1466155331315082,9.73474197979607,0,17,Nissan March (Xiaomi Redmi Note 9S),0.833733,-77.6500695,5.236618952974782,-43.29099455567292,60.717747628787826,Giro izquierdo agresivo,10.4669189453125,2022-01-23 19:10:29.550000-05:00,-3.8510074970351496e-05,-0.00026457415914916515,-0.0006848637996035492
12664,-0.1559668584443401,1.144449561386876,9.730401344951847,0,17,Nissan March (Xiaomi Redmi Note 9S),0.833733,-77.6500695,5.281266705766196,-43.18407665165258,60.58792274863484,Giro izquierdo agresivo,10.4669189453125,2022-01-23 19:10:29.600000-05:00,-0.000637440951287595,0.00018588450841637523,-0.0002966019586795287
12665,-0.17798270097576924,1.1728387228963988,9.733911135144533,0,17,Nissan March (Xiaomi Redmi Note 9S),0.833733,-77.6500695,5.237377986311145,-43.0725145425683,60.58234511835653,Giro izquierdo agresivo,10.4669189453125,2022-01-23 19:10:29.650000-05:00,-0.00038868229699154345,-0.00021119414567963155,0.0003806611813916777
12666,-0.16413998541551852,1.1671054043977176,9.736157958158634,0,17,Nissan March (Xiaomi Redmi Note 9S),0.833733,-77.6500695,5.396529681613269,-43.10058631732588,60.48735275118761,Giro izquierdo agresivo,10.4669189453125,2022-01-23 19:10:29.702000-05:00,5.033744680532187e-05,-0.0005195627802936676,0.00011277346307741922
12667,-0.15861146017627525,1.165735063078287,9.73742958248251,0,17,Nissan March (Xiaomi Redmi Note 9S),0.833733,-77.6500695,5.481839255813772,-43.27691884962,60.440437291804045,Giro izquierdo agresivo,10.4669189453125,2022-01-23 19:10:29.751000-05:00,0.00019509594698936946,-0.0006187450143205688,3.340990504650973e-05
12668,-0.16826015368828584,1.1533440335687237,9.738538782026867,0,17,Nissan March (Xiaomi Redmi Note 9S),0.833733,-77.6500695,5.5251965033782175,-43.33773128862814,60.38571760216026,Giro izquierdo agresivo,10.4669189453125,2022-01-23 19:10:29.800000-05:00,-2.491984480356259e-05,0.00025262506885676407,-8.380840094581242e-05
12669,-0.168520723682221,1.1465129808037418,9.73267357331735,0,17,Nissan March (Xiaomi Redmi Note 9S),0.833733,-77.6500695,5.579867047336216,-43.30113526817089,60.47083715347407,Giro izquierdo agresivo,10.4669189453125,2022-01-23 19:10:29.849000-05:00,-0.0005437112145677062,0.00035223432308740285,-0.0003059477457636939
12670,-0.15263622561169884,1.1517085984911022,9.740002838940429,0,17,Nissan March (Xiaomi Redmi Note 9S),0.833733,-77.6500695,5.422036274017353,-43.279389485177944,60.531812211764844,Giro izquierdo agresivo,10.4669189453125,2022-01-23 19:10:29.901000-05:00,0.00044546490712629705,0.0005649262793213186,-9.063909941590495e-05
12671,-0.17898797580119946,1.1554542013409939,9.74441014819827,0,17,Nissan March (Xiaomi Redmi Note 9S),0.833733,-77.6500695,5.567228498570696,-43.322544952599536,60.54179599749588,Giro izquierdo agresivo,10.4669189453125,2022-01-23 19:10:29.950000-05:00,0.0003253817891879857,0.0011752979325669426,0.00016056017551722672
12672,-0.17783532714471614,1.1422374797396488,9.742229172055135,0,17,Nissan March (Xiaomi Redmi Note 9S),0.833733,-77.6500695,5.617922195475958,-43.345392092833336,60.63751299912098,Giro izquierdo agresivo,10.4669189453125,2022-01-23 19:10:30-05:00,0.0006427828847570375,0.001100633781499581,0.00023497966828723744
12673,-0.17090769801640515,1.1440859710129927,9.744760706800296,0,17,Nissan March (Xiaomi Redmi Note 9S),0.833733,-77.6500695,5.459604203626074,-43.48964505707019,60.63750276643757,Giro izquierdo agresivo,10.4669189453125,2022-01-23 19:10:30.050000-05:00,-0.00032354880851946015,0.0008056379481691904,0.0007255585315173167
