id,accPosition,accX,accY,accZ,eventClass,idTrip,idVehicle,latitude,longitude,magX,magY,magZ,route,speed,timestamp,velAngX,velAngY,velAngZ
11913,26.274509803921568,-1.9087848256776199,2.2285180848040733,9.330200202147353,0,33,Nissan March,0,0,13.379644063456299,-75.4269697530632,41.03636130531312,Cambio de línea agresivo izquierda,8,2022-02-02 20:23:39.518000-05:00,-0.001312358987375883,0.020664734702605356,0.007117692126827561
11914,26.274509803921568,-1.8246340282609568,2.234683071971401,9.196305061067013,0,33,Nissan March,0,0,13.641375979777122,-75.60761428784195,41.101010873428166,Cambio de línea agresivo izquierda,8,2022-02-02 20:23:39.566000-05:00,-0.011894861182638244,0.023168143304957357,0.005618493562750128
11915,26.274509803921568,-1.6985969285189522,2.2538273186551745,9.224730104346104,0,33,Nissan March,0,0,13.557756057180772,-76.02573550879526,40.88416847367966,Cambio de línea agresivo izquierda,8,2022-02-02 20:23:39.616000-05:00,-0.021728334611060933,0.021556114588472716,0.0036203425668739106
11916,26.274509803921568,-1.8065811912827054,2.2739209134472724,9.432371919813148,0,33,Nissan March,0,0,13.649987239458659,-75.03969673386558,41.62308523299049,Cambio de línea agresivo izquierda,8,2022-02-02 20:23:39.666000-05:00,-0.037158619626881856,-0.02587891659866169,-0.002841943632177634
11917,26.274509803921568,-2.0754816995512146,2.363734496438574,9.481327837248829,0,33,Nissan March,0,0,12.867818492871015,-74.80548861945971,41.36864017392005,Cambio de línea agresivo izquierda,10,2022-02-02 20:23:39.716000-05:00,-0.0059029252843905075,-0.007475948614046771,0.00020219678360043104
11918,26.274509803921568,-1.913810013431129,2.3545009608459844,9.652704218238636,0,33,Nissan March,0,0,12.501126763362159,-74.5693618098879,41.55109134587918,Cambio de línea agresivo izquierda,10,2022-02-02 20:23:39.765000-05:00,0.02154664888422529,0.017639201744223544,0.009900415616793572
11919,26.274509803921568,-1.7579085582108485,2.5570790130614043,9.77478698010397,0,33,Nissan March,0,0,12.680264471301754,-74.68550835245213,41.86803564281589,Cambio de línea agresivo izquierda,10,2022-02-02 20:23:39.815000-05:00,0.03275994898242664,0.034078132453843224,0.016611795783694948
11920,26.274509803921568,-2.1517208788242774,2.268506175071977,9.629553613892334,0,33,Nissan March,0,0,12.62627567626777,-75.10903813949028,42.60943620480973,Cambio de línea agresivo izquierda,10,2022-02-02 20:23:39.866000-05:00,0.037179731563271076,0.05366905066613791,0.024560387015712483
11921,27.45098039215686,-2.1420767955513207,2.7175871942527268,9.695130770828527,0,33,Nissan March,0,0,12.057405577754459,-75.10580642498947,42.85157498682662,Cambio de línea agresivo izquierda,12,2022-02-02 20:23:39.916000-05:00,0.02580410025306925,0.020555328884755704,0.016888990644577568
11922,27.45098039215686,-2.1754800110478967,2.4435853338146845,9.208226445604831,0,33,Nissan March,0,0,12.27944971023026,-75.3679878215771,42.379293506659224,Cambio de línea agresivo izquierda,12,2022-02-02 20:23:39.966000-05:00,-0.007195150924302014,0.0068181799588041235,-9.749023263463594e-05
11923,27.45098039215686,-1.931083329877263,2.849958108764069,8.939385801144311,0,33,Nissan March,0,0,12.864956998491417,-75.52920587269394,42.231572700805565,Cambio de línea agresivo izquierda,12,2022-02-02 20:23:40.016000-05:00,0.014701432158527667,-0.0014716768110328519,0.0010717552298904582
11924,28.62745098039216,-1.814778599639262,2.915436310372799,9.292785566170927,0,33,Nissan March,0,0,13.113985246710378,-75.54025177702331,41.79869946480227,Cambio de línea agresivo izquierda,14,2022-02-02 20:23:40.066000-05:00,0.014808030014139405,-0.0016327828796799642,0.008720300024935653
11925,28.62745098039216,-1.9275435712446336,2.7764735895891217,9.095832951624327,0,33,Nissan March,0,0,13.021704007102043,-75.10667192006464,40.6437655654694,Cambio de línea agresivo izquierda,14,2022-02-02 20:23:40.117000-05:00,-0.0022722250435265046,0.0017601441687334427,0.010415439659739881
11926,28.62745098039216,-1.724560794160316,2.892579284564809,9.373756751576277,0,33,Nissan March,0,0,12.354490020614794,-73.95937840981009,40.77133586937663,Cambio de línea agresivo izquierda,14,2022-02-02 20:23:40.167000-05:00,-0.010770792290222566,0.000885797774034471,0.0007630352011467577
11927,28.62745098039216,-1.677980106747331,2.810952452408996,9.710992126432396,0,33,Nissan March,0,0,12.444869699609477,-74.48712789073335,41.535733053407895,Cambio de línea agresivo izquierda,14,2022-02-02 20:23:40.216000-05:00,-0.005022301108082694,-0.009081406448004198,-0.002294714062043244
11928,29.80392156862745,-1.9086633010420335,2.2862512201098983,10.577121793193623,0,33,Nissan March,0,0,13.111025031699945,-75.6923121037513,42.40965502792745,Cambio de línea agresivo izquierda,14,2022-02-02 20:23:40.266000-05:00,0.004009353515348512,0.012244513455950694,-0.006174624615841598
11929,29.80392156862745,-1.885604909156851,1.9293769556916889,10.250580962134519,0,33,Nissan March,0,0,13.020055707941776,-75.90474663756449,42.24989495081725,Cambio de línea agresivo izquierda,14,2022-02-02 20:23:40.316000-05:00,-0.006554940691915437,-0.009908829377725978,-0.00885935580735233
11930,29.80392156862745,-1.5116032914520479,2.036375928111443,10.458389116925758,0,33,Nissan March,0,0,12.353572059794564,-76.03534037342152,42.153441987009586,Cambio de línea agresivo izquierda,14,2022-02-02 20:23:40.366000-05:00,-0.012186470776117661,-0.028753380065254533,-0.00607076986406508
11931,30.58823529411765,-2.024871531769857,2.3432373058882643,10.145220501223239,0,33,Nissan March,0,0,12.36737944465295,-75.49909681433526,42.026471958159995,Cambio de línea agresivo izquierda,16,2022-02-02 20:23:40.416000-05:00,-0.026171481572877707,0.01083277029955148,-0.003003940943941453
