id,accPosition,accX,accY,accZ,eventClass,idTrip,idVehicle,latitude,longitude,magX,magY,magZ,route,speed,timestamp,velAngX,velAngY,velAngZ
7329,38.8235294117647,-2.568878600409453,4.275657429381412,8.806844725724753,0,23,Nissan March,0,0,1.095282416278862,7.887282338065258,20.84376408170714,Frenada repentina,4,2022-02-02 20:07:19.541000-05:00,0.069189980875582,0.0483477641576334,0.1305128638486825
7330,38.8235294117647,-2.205385441156492,2.3686148326325576,10.468855311611456,0,23,Nissan March,0,0,1.96370106761566,6.744197941244205,22.40494870491312,Frenada repentina,4,2022-02-02 20:07:19.589000-05:00,0.0042078587291539,0.0163893434298819,0.1177294955575819
7331,46.66666666666666,-2.612497779519809,2.8697000047374868,8.74936885531945,0,23,Nissan March,0,0,3.0058034492198167,6.744197941244205,20.32336920730515,Frenada repentina,6,2022-02-02 20:07:19.638000-05:00,-0.0075102288710215,0.0281074310300574,0.1251864603940573
7332,46.66666666666666,-2.3944018839680323,1.9210436109466016,10.70354844909978,0,23,Nissan March,0,0,3.179487179487176,7.887282338065258,22.57841366304711,Frenada repentina,6,2022-02-02 20:07:19.688000-05:00,-0.0458603337443234,0.0281074310300574,0.1145336534848068
7333,46.66666666666666,-2.331396403030852,2.125369603455408,11.474683043704276,0,23,Nissan March,0,0,5.611059403230218,6.972814820608417,23.2722734955831,Frenada repentina,6,2022-02-02 20:07:19.739000-05:00,-0.0639701054900492,-0.0091773931523193,0.1134683727938817
7334,46.66666666666666,-3.01476354242642,3.5070025051816187,10.516751870282544,0,23,Nissan March,0,0,3.179487179487176,7.430048579336836,23.2722734955831,Frenada repentina,6,2022-02-02 20:07:19.788000-05:00,-0.037338088216923,0.0717839393579845,0.1038808465755563
7335,46.66666666666666,-2.5931114776929847,3.117810138498179,9.93241385449529,0,23,Nissan March,0,0,4.91632448216078,6.0583473031515735,23.2722734955831,Frenada repentina,8,2022-02-02 20:07:19.839000-05:00,-0.016032474398422,-0.025156603516195,0.1006850045027811
7336,46.66666666666666,-2.2199251675266107,3.716193402273968,9.549241385126594,0,23,Nissan March,0,0,4.395273291358701,6.744197941244205,22.40494870491312,Frenada repentina,8,2022-02-02 20:07:19.889000-05:00,-0.0085755095619466,-0.0123732352250944,0.0953586010481559
7337,46.66666666666666,-1.488092273563981,2.913484145989373,9.041537863213076,0,23,Nissan March,0,0,5.437375672962859,5.829730423787365,19.28257945850116,Frenada repentina,8,2022-02-02 20:07:19.939000-05:00,0.0201870690930297,-0.0091773931523193,0.0953586010481559
7338,52.15686274509804,-2.2780840730070846,3.463218363929732,9.898886263425528,0,23,Nissan March,0,0,3.874222100556623,6.972814820608417,22.23148374677912,Frenada repentina,10,2022-02-02 20:07:19.989000-05:00,0.0031425780382289,0.0206504661935821,0.0815099520661302
7339,52.15686274509804,-2.4961799685588617,2.2810465501287838,10.128789745046742,0,23,Nissan March,0,0,3.526854640021904,7.887282338065258,22.23148374677912,Frenada repentina,10,2022-02-02 20:07:20.039000-05:00,-0.0394686495987731,-0.088008164280773,0.0665960223931795
7340,52.15686274509804,-2.806360797788056,2.4513182105527886,9.304968935904052,0,23,Nissan March,0,0,4.74264075189342,7.201431699972627,20.32336920730515,Frenada repentina,10,2022-02-02 20:07:20.089000-05:00,-0.0565131406535739,-0.0688331118441221,0.0474209699565286
7341,52.15686274509804,-1.1730648688780807,2.8551052909868573,7.863282519904347,0,23,Nissan March,0,0,4.74264075189342,6.744197941244205,21.71108887237712,Frenada repentina,10,2022-02-02 20:07:20.138000-05:00,-0.0479908951261735,0.0217157468845071,0.0474209699565286
7342,54.50980392156863,-2.2780840730070846,3.9934929635359184,10.45927599987724,0,23,Nissan March,0,0,4.221589561091342,6.515581061879995,23.966133328119085,Frenada repentina,12,2022-02-02 20:07:20.188000-05:00,-0.0117713516347218,0.1282438159770122,0.0591390575567041
7343,54.50980392156863,-2.7869744959612306,4.664849796064852,9.78393452261492,0,23,Nissan March,0,0,5.090008212428139,7.201431699972627,22.058018788645125,Frenada repentina,12,2022-02-02 20:07:20.239000-05:00,-5.326403454624512e-05,0.0334338344846827,0.0271806368289526
7344,54.50980392156863,-1.7449607727694072,3.20051351641841,7.820175617100368,0,23,Nissan March,0,0,4.74264075189342,8.115899217429467,22.058018788645125,Frenada repentina,12,2022-02-02 20:07:20.288000-05:00,0.0425579636024557,0.0813714655763099,0.0016139002467514
7345,54.50980392156863,-2.3410895539442644,3.531327028099334,7.997392884183388,0,23,Nissan March,0,0,3.874222100556623,7.887282338065258,21.19069399797513,Frenada repentina,12,2022-02-02 20:07:20.338000-05:00,0.047884367057081,0.0994812373220358,-0.0058430645897238
7346,59.6078431372549,-1.6092566599816347,2.6751038213957665,10.938241586588106,0,23,Nissan March,0,0,5.611059403230218,7.430048579336836,22.57841366304711,Frenada repentina,14,2022-02-02 20:07:20.389000-05:00,0.0255134725476549,0.0217157468845071,0.0058750230104516
7347,59.6078431372549,-3.135927928844074,4.358360807301643,7.81538596123326,0,23,Nissan March,0,0,3.526854640021904,7.430048579336836,22.925343579315108,Frenada repentina,14,2022-02-02 20:07:20.438000-05:00,0.0042078587291539,-0.0347441297345205,0.0154625492287771
7348,64.70588235294117,-2.3992484594247383,3.176188993500695,9.237913753764532,0,23,Nissan March,0,0,4.395273291358701,9.94483425234315,23.098808537449106,Frenada repentina,16,2022-02-02 20:07:20.489000-05:00,-0.0405339302896981,0.0558047289941087,0.0090708650832268
